	s1.1	s1.2	s1.3	s1.4	s1.5	s1.6	s1.7	s1.8	s2.1	s2.2	s2.3	s2.4	s2.5	s2.6	s2.7	s2.8	s3.1	s3.2	s3.3	s3.4	s3.5	s3.6	s3.7	s3.8	s4.1	s4.2	s4.3	s4.4	s4.5	s4.6	s4.7	s4.8	s5.1	s5.2	s5.3	s5.4	s5.5	s5.6	s5.7	s5.8
s1.1	0	0.165108358	0.175201854	0.138865264	0.164045883	0.156714815	0.164045882	0.145558845	0.170845717	0.175945594	0.210475972	0.200382479	0.22418189	0.173926893	0.198470027	0.173076906	0.160964706	0.168508271	0.212175921	0.175095602	0.159902229	0.203994878	0.314279621	0.166064589	0.255524849	0.28994899	0.248725016	0.318317043	0.216532073	0.218019537	0.252762416	0.311942192	0.257118568	0.262643413	0.258606023	0.234275381	0.239587741	0.266255828	0.235125356	0.199957488
s1.2	0.165108358	0	0.192626413	0.151508695	0.18657032	0.210050981	0.184232877	0.168720762	0.179982982	0.12388438	0.22046322	0.206863565	0.223438145	0.12430937	0.176795569	0.119528235	0.202826167	0.211750946	0.269124509	0.201976184	0.214300876	0.218125777	0.381640446	0.208457279	0.304398632	0.339778997	0.268487022	0.394283897	0.248937514	0.25031873	0.265512094	0.37749681	0.329473011	0.338504029	0.264343372	0.257224805	0.261049707	0.336910323	0.310560974	0.223331897
s1.3	0.175201854	0.192626413	0	0.113897135	0.092010177	0.193476389	0.085954078	0.082660418	0.099022506	0.1375903	0.135996579	0.107522293	0.129834238	0.131321701	0.218125778	0.164152128	0.231831688	0.158202276	0.278155534	0.141202697	0.198045036	0.1331279	0.391733941	0.182851671	0.322354432	0.356353583	0.179239255	0.373246918	0.167020801	0.2255631	0.179557991	0.355609853	0.300573725	0.307586039	0.174245623	0.163302145	0.163514632	0.301954938	0.280174223	0.146408815
s1.4	0.138865264	0.151508695	0.113897135	0	0.10752229	0.178814265	0.106672316	0.089566501	0.107097309	0.119740748	0.158946012	0.140246479	0.160752218	0.108372273	0.192838918	0.145665089	0.185826587	0.150446217	0.237144057	0.13705906	0.182745404	0.154589867	0.347003803	0.174351883	0.282617922	0.323310659	0.204844862	0.360815972	0.178283024	0.217594547	0.205482346	0.343603903	0.28803654	0.294517623	0.201338694	0.183276651	0.186889058	0.290798969	0.266787065	0.158839758
s1.5	0.164045883	0.18657032	0.092010177	0.10752229	0	0.167020799	0.084147873	0.099022505	0.094560116	0.14428388	0.157777289	0.135040355	0.149383752	0.132277925	0.204738619	0.159902236	0.222163175	0.145771338	0.264980856	0.132596663	0.184976599	0.149702489	0.375371847	0.176583074	0.310454721	0.349659998	0.19581383	0.36049723	0.166702058	0.222375674	0.198151274	0.345835097	0.282936664	0.292605169	0.195920077	0.182001679	0.180939197	0.290480226	0.264130881	0.166277068
s1.6	0.156714815	0.210050981	0.193476389	0.178814265	0.167020799	0	0.169252001	0.180620469	0.167127051	0.201019962	0.255099857	0.226944316	0.25754355	0.211113459	0.134615362	0.181257951	0.180089228	0.217382047	0.234381619	0.221525691	0.192732662	0.246918803	0.324691865	0.216532074	0.279111755	0.318635769	0.288461524	0.335316606	0.253081149	0.261368452	0.296855064	0.323948139	0.25318741	0.269761986	0.290480211	0.268912013	0.275180601	0.24638757	0.231725432	0.243731383
s1.7	0.164045882	0.184232877	0.085954078	0.106672316	0.084147873	0.169252001	0	0.086379081	0.091585195	0.136527824	0.139184007	0.120271983	0.145771343	0.116872063	0.201976182	0.155014861	0.215788334	0.151933686	0.260412224	0.135465344	0.185932829	0.147046302	0.376434319	0.176264334	0.301636191	0.339778993	0.190395222	0.361984696	0.159052254	0.223225653	0.192307678	0.347216309	0.287611552	0.297173801	0.185189098	0.172970661	0.173183153	0.288036532	0.264449626	0.144708862
s1.8	0.145558845	0.168720762	0.082660418	0.089566501	0.099022505	0.180620469	0.086379081	0	0.104759868	0.133765396	0.132702914	0.111453447	0.131109215	0.109965989	0.207182315	0.156714818	0.205057364	0.154589873	0.258606023	0.132915416	0.186782817	0.131215448	0.369315755	0.176689329	0.302379933	0.340841472	0.175414351	0.368040803	0.16181469	0.222163184	0.175414347	0.350297486	0.296111346	0.303867388	0.175626846	0.160539722	0.163195899	0.299617502	0.274224374	0.128878014
s2.1	0.170845717	0.179982982	0.099022506	0.107097309	0.094560116	0.167127051	0.091585195	0.104759868	0	0.122290682	0.16659582	0.128453019	0.159689742	0.122821907	0.18242668	0.138227777	0.212813414	0.160220981	0.254249881	0.141521449	0.186464075	0.164045876	0.36612833	0.1779643	0.297598802	0.33733531	0.203569896	0.363472166	0.175520597	0.227581796	0.20951974	0.354122394	0.29249893	0.308754773	0.19847002	0.191457698	0.192626412	0.294092637	0.267530801	0.1591585
s2.2	0.175945594	0.12388438	0.1375903	0.119740748	0.14428388	0.201019962	0.136527824	0.133765396	0.122290682	0	0.195920089	0.147365058	0.182426683	0.086379076	0.155121112	0.08308541	0.217594547	0.189439	0.275711844	0.178708015	0.215044618	0.198895019	0.387590291	0.204419889	0.309604748	0.347747552	0.242243939	0.402571188	0.221631951	0.252231181	0.241393952	0.38769655	0.333191667	0.340628967	0.241925183	0.232256685	0.232044183	0.337866544	0.31141095	0.196770068
